"player_name","player_handedness"
"Emily Clark","L"
"Marie-Philip Poulin","L"
"Olga Sosina","R"
"Brianne Jenner","R"
"Yevgenia Dyupina","R"
"Lyudmila Belyakova","L"
"Haley Irwin","L"
"Jennifer Wakefield","R"
"Yelena Dergachyova","L"
"Melodie Daoust","L"
"Blayre Turnbull","R"
"Anna Shokhina","L"
"Valeria Pavlova","L"
"Linda Valimaki","L"
"Riikka Sallinen","R"
"Sara Sakkinen","L"
"Tanja Niskanen","L"
"Susanna Tapani","L"
"Petra Nieminen","L"
"Brianna Decker","R"
"Kelly Pannek","R"
"Dani Cameranesi","L"
"Hannah Brandt","R"
"Gigi Marvin","R"
"Hilary Knight","R"
"Bailey Bram","L"
"Jillian Saulnier","L"
"Meghan Duggan","R"
"Kayla Nielsen","L"
"Michala Pejzlova","L"
"Nadine Edney","L"
"Tia Stoddard","L"
"Cassidy Vinkle","L"
"Jessica Poirier","R"
"Charlea Pedersen","L"
"Taylar Cianfarano","L"
"Justine Reyes","R"
"Maggie McLaughlin","L"
"Kalie Grant","R"
"Hayley Scamurra","L"
"Victoria Bach","L"
"Alex Carpenter","L"
"Dana Trivigno","R"
"Jesse Compher","R"
"Sarah Nurse","L"
"Sydney Brodt","R"
"Noora Tulus","R"
"Loren Gabel","L"
"Minnamari Tuominen","R"
"Fanuza Kadirova","L"
"Viktoria Kulishova","L"
"Annina Rajahuhta","L"
"Laura Stacey","R"
"Saila Saari","L"
"Amanda Kessel","R"
"Kendall Coyne Schofield","L"
"Jocelyne Lamoureux","R"
"Diana Kanayeva","L"
"Yekaterina Smolina","R"
"Natalie Spooner","R"
"Jocelyne Larocque","L"
"Kelly Mariani","R"
"Rachael Smith","R"
"Steph Keryluk","R"
"Viivi Vainikka","L"
"Michelle Karvinen","L"
